ID,LATITUDE,LONGITUDE,CATEGORY,STATES_NAME_EN,REGION_EN,NAME_EN
977,37.92916667,27.35944444,Cultural,Turkey,Europe and North America,Ephesus
978,41.67777778,26.55944444,Cultural,Turkey,Europe and North America,Selimiye Mosque and its Social Complex
979,37.66666667,32.82805556,Cultural,Turkey,Europe and North America,Neolithic Site of ÿatalhöyük
980,40.18473056,29.06233611,Cultural,Turkey,Europe and North America,Bursa and Cumalıkızık: the Birth of the Ottoman Empire
981,39.12583333,27.18,Cultural,Turkey,Europe and North America,Pergamon and its Multi-Layered Cultural Landscape
982,37.9031,40.23930833,Cultural,Turkey,Europe and North America,Diyarbakır Fortress and Hevsel Gardens Cultural Landscape
858,-11.68333,160.33333,Natural,Solomon Islands,Asia and the Pacific,East Rennell
859,-27.83889,32.55,Natural,South Africa,Africa,iSimangaliso Wetland Park
860,-24.15861,29.17694,Cultural,South Africa,Africa,Fossil Hominid Sites of South Africa
861,-33.8,18.36666667,Cultural,South Africa,Africa,Robben Island
862,-34.36111111,18.475,Natural,South Africa,Africa,Cape Floral Region Protected Areas
983,40.5,43.56666667,Cultural,Turkey,Europe and North America,Archaeological Site of Ani
984,37.70833333,28.72361111,Cultural,Turkey,Europe and North America,Aphrodisias
985,37.22324194,38.92236389,Cultural,Turkey,Europe and North America,Göbekli Tepe
986,37.70083,62.1775,Cultural,Turkmenistan,Asia and the Pacific,State Historical and Cultural Park ⿿Ancient Merv⿝
987,42.18318,59.08494,Cultural,Turkmenistan,Asia and the Pacific,Kunya-Urgench
988,37.99972222,58.19861111,Cultural,Turkmenistan,Asia and the Pacific,Parthian Fortresses of Nisa
989,-1.080555556,29.66138889,Natural,Uganda,Africa,Bwindi Impenetrable National Park
990,0.223611111,29.92416667,Natural,Uganda,Africa,Rwenzori Mountains National Park
1047,37.74611111,-119.5966667,Natural,United States of America,Europe and North America,Yosemite National Park
863,-22.1925,29.23889,Cultural,South Africa,Africa,Mapungubwe Cultural Landscape
864,-26.86,27.26,Natural,South Africa,Africa,Vredefort Dome
865,-28.6,17.20388889,Cultural,South Africa,Africa,Richtersveld Cultural and Botanical Landscape
866,-25.68761111,20.37458333,Cultural,South Africa,Africa,ǿKhomani Cultural Landscape
867,-25.97388889,31.01388889,Natural,South Africa,Africa,Barberton Makhonjwa Mountains
868,43.38252778,-4.116166667,Cultural,Spain,Europe and North America,Cave of Altamira and Paleolithic Cave Art of Northern Spain
991,0.348611111,32.55138889,Cultural,Uganda,Africa,Tombs of Buganda Kings at Kasubi
992,50.45258,30.51686,Cultural,Ukraine,Europe and North America,"Kiev: Saint-Sophia Cathedral and Related Monastic Buildings, Kiev-Pechersk Lavra"
993,49.84163,24.03198,Cultural,Ukraine,Europe and North America,L'viv ⿿ the Ensemble of the Historic Centre
994,48.29666667,25.92472222,Cultural,Ukraine,Europe and North America,Residence of Bukovinian and Dalmatian Metropolitans
