Country,Year_1990,Year_2000,Year_2010,Year_2015,Year_2020,Land_Area_2020,Forest_portion_land_area_2020,Deforestation_2015_2020,Forest_Area_Affected_by_Fire
Finland,21875.33,22445.64,22242,22409,22409,30391,73.74,0.00,0.15
France,14436,15288,16419,16836,17253,54756,31.51,0.00,6.21
French Guiana,8125,8079.44,8036.5,8020,8002.85,8220,97.36,5.78,0.00
French Polynesia,144.43,148.55,149.46,149.46,149.46,366,40.84,0.00,0.00
Gabon,23761.62,23700,23649.41,23590,23530.6,25767,91.32,19.25,0.00
Gambia,414.66,357.33,300,271.34,242.67,1012,23.98,0.00,0.00
Georgia,2752.3,2760.6,2822.4,2822.4,2822.4,6949,40.62,0.00,0.21
Germany,11300,11354,11409,11419,11419,34886,32.73,7.00,0.53
Ghana,9924.26,8848.61,7942.93,7880.44,7985.71,22754,35.1,0.00,0.00
Gibraltar,0,0,0,0,0,1,0,0.00,0.00
Greece,3298.55,3600.23,3901.8,3901.8,3901.8,12890,30.27,0.00,0.00
Greenland,0.22,0.22,0.22,0.22,0.22,41045,0,0.00,0.00
Grenada,17.7,17.7,17.7,17.7,17.7,34,52.06,0.00,0.00
Guadeloupe,73.17,72.27,71.55,72.22,71.92,169,42.56,0.25,0.00
Guam,24,24,24,25,28,54,51.85,0.00,0.00
Guatemala,4781.2,4209.2,3722.6,3585.8,3527.8,10716,32.92,11.60,9.50
Guernsey,0.23,0.23,0.42,0.42,0.42,8,5.25,0.00,0.00
Guinea,7276,6929,6569,6389,6189,24572,25.19,0.00,0.00
Guinea-Bissau,2233.33,2148.88,2064.43,2022.21,1980.01,2812,70.41,0.00,221.55
Guyana,18602.15,18564.22,18519.81,18461.36,18415.34,19685,93.55,9.20,1.13
Haiti,382.92,380.65,378.38,362.85,347.3,2756,12.6,0.00,0.08
Holy See,0,0,0,0,0,0,0,0.00,0.00
Honduras,6987.78,6778.27,6575.47,6463.83,6359.26,11189,56.83,23.19,0.00
Hungary,1813.9,1921.17,2046.39,2060.82,2053.01,9053,22.68,3.14,1.60
Iceland,17.07,29.83,44.67,48.16,51.35,10025,0.51,0.00,0.00
India,63938,67591,69496,70828,72160,297319,24.27,668.40,3577.00
Indonesia,118545,101280,99659.2,95027.9,92133.2,187752,49.07,650.00,0.00
Iran (Islamic Republic of),9076.06,9325.66,10691.98,10691.98,10751.87,162876,6.6,0.00,4.79
Iraq,804,818,825,825,825,43412.8,1.9,0.00,0.00
Ireland,461.64,630.36,720.38,754.67,782.02,6889,11.35,0.62,0.18
Isle of Man,3.46,3.46,3.46,3.46,3.46,57,6.07,0.00,0.00
Israel,132,153,154,165,140,2164,6.47,0.00,2.71
Italy,7589.75,8369.25,9028.04,9297.08,9566.13,29414,32.52,0.00,25.87
Jamaica,521.28,521,558.45,577.46,596.89,1083,55.11,0.54,0.00
Japan,24950,24876,24966,24944,24935,36456,68.4,0.00,0.50
Jersey,0.6,0.6,0.6,0.6,0.6,12,5,0.00,0.00
Jordan,97.5,97.5,97.5,97.5,97.5,8878,1.1,0.00,0.00
Kazakhstan,3162.24,3156.93,3082.18,3308.46,3454.68,269970,1.28,0.00,9.60
Kenya,3858.54,3961.19,3616.34,3522.41,3611.09,56914,6.34,0.00,3.85
Kiribati,1.18,1.18,1.18,1.18,1.18,81,1.46,0.00,0.00
Kuwait,3.45,4.85,6.25,6.25,6.25,1782,0.35,0.00,0.00
Kyrgyzstan,1136.42,1180.9,1229.68,1251.81,1315.38,19180,6.86,0.00,0.02
Lao People's Democratic Republic,17843,17425,16940.5,16768,16595.5,23080,71.9,0.00,12.42
Latvia,3173,3241,3372.12,3391.44,3410.79,6218,54.85,0.36,0.32
Lebanon,139.7,138.18,137.35,140.33,143.33,1023,14.01,0.00,0.06
Lesotho,34.52,34.52,34.52,34.52,34.52,3036,1.14,0.00,0.00
Liberia,8525.24,8222.64,7920.04,7768.74,7617.44,9632,79.08,30.26,0.00
Libya,217,217,217,217,217,175954,0.12,0.00,0.00
Liechtenstein,6.5,6.7,6.7,6.7,6.7,16,41.88,0.21,0.00
Lithuania,1945,2020,2170,2187,2201,6265,35.13,0.14,0.07
Luxembourg,85.8,86.7,88.7,88.7,88.7,243,36.5,0.00,0.00
Madagascar,13693.45,13030.67,12561.98,12495.89,12429.81,58180,21.36,0.00,0.00
Malawi,3501.7,3081.7,2661.7,2451.7,2241.7,9428,23.78,42.00,412.61
Malaysia,20618.5,19691.35,18947.65,19464.22,19114.04,32855,58.18,0.00,0.89
Maldives,0.82,0.82,0.82,0.82,0.82,30,2.73,0.00,0.00
Mali,13296,13296,13296,13296,13296,122019,10.9,0.00,0.00
Malta,0.35,0.35,0.35,0.35,0.46,32,1.44,0.00,0.00
Marshall Islands,9.4,9.4,9.4,9.4,9.4,18,52.22,0.00,0.00
Martinique,47.84,48.74,50.29,51.29,52.29,106,49.33,0.16,0.00
Mauritania,476.04,421.64,367.24,340.04,312.8,103070,0.3,45.38,0.47
Mauritius,41.07,41.93,38.39,38.3,38.77,203,19.1,0.12,0.08
Mayotte,19.1,15.67,14.41,14.14,13.89,37,37.54,0.06,0.00
Mexico,70591.65,68381.35,66943.31,66330.91,65692.08,194395,33.79,165.82,59.14
Micronesia (Federated States of),63.58,63.86,64.13,64.27,64.42,70,92.03,0.00,0.00
Monaco,0,0,0,0,0,0,0,0.00,0.00
Mongolia,14352,14263.9,14183.9,14178.33,14172.78,155356,9.12,1.52,45.00
Montenegro,626,626,827,827,827,1345,61.49,12.00,2.34
Montserrat,3.5,2.5,2.5,2.5,2.5,10,25,0.00,0.00
Morocco,5485.29,5506.54,5674.57,5684.69,5742.49,44630,12.87,0.00,0.99
Mozambique,43378,41188,38972.14,37940,36743.76,78638,46.73,267.03,14103.76
Myanmar,39218.48,34868.11,31441,29992.44,28543.89,65308,43.71,293.92,1186.90
Namibia,8769.17,8059.08,7348.99,6993.95,6638.9,82329,8.06,0.00,0.00
Nauru,0,0,0,0,0,2,0,0.00,0.00
Nepal,5672,5780.76,5962.03,5962.03,5962.03,14335,41.59,0.00,0.00
Netherlands,345.33,359.5,373.48,364.83,369.5,3369,10.97,2.19,0.02
New Caledonia,831.13,837.85,839.02,838.52,838.02,1828,45.84,0.00,0.00
New Zealand,9372.27,9850.44,9848.12,9846.61,9892.59,26331,37.57,6.58,1.54
Nicaragua,6399.32,5399.32,4188.15,3907.53,3407.53,12034,28.32,105.03,0.00
Niger,1945,1328.1,1203.9,1141.8,1079.7,126670,0.85,14.92,0.00
Nigeria,26526.09,24893.04,23259.98,22443.45,21626.95,91077,23.75,163.31,12.00
Niue,18.93,18.83,18.77,18.82,18.87,26,72.58,0.00,0.00
Norfolk Island,0.49,0.49,0.49,0.49,0.49,4,12.25,0.00,0.00
North Macedonia,912,957.55,960.43,994.4,1001.49,2522,39.71,0.00,3.17
Northern Mariana Islands,33.61,31.96,30.32,29.49,24.36,46,52.96,0.00,0.00
